"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X1.61__136.06087__.M.H..__Adenine..LC.ESI.QTOF..MS2..CE",1.0862,-0.57891,2.1972,0.054901,0.54047,-4.0634
"X4.772__333.09246999999999__.M.H..__w.o.MS2.Sulochrin_120096",-3.2716,-1.0844,-2.1512,0.059211,0.54922,-4.1311
"X6.479__295.23615000000001__.M.H..__w.o.MS2.Unknown..carbon.number.18...PlaSMA.ID.1528",3.3529,-2.0014,2.138,0.060506,0.54922,-4.1505
"X1.685__176.07056__.M.H..__w.o.MS2.3.Indoleacetic.acid..CE0..SEOVTRFCIGRIMH.UHFFFAOYSA.N",-0.59457,0.54473,-2.112,0.063144,0.54922,-4.1886
"X7.223__295.2038__.M.H..__w.o.MS2.ISOPALMITIC.ACID",3.2033,0.24049,2.1064,0.063724,0.54922,-4.1967
"X3.093__114.03863__.M.H..__Unknown",-0.80018,-0.32203,-2.0979,0.064611,0.54922,-4.2091
"X4.147__223.13869__.M.H..__w.o.MS2.Unknown..carbon.number.13...PlaSMA.ID.849",1.9751,-0.24912,2.095,0.064918,0.54922,-4.2133
"X6.536__315.15991000000002__.M.Na..__w.o.MS2.Safranin..LC.ESI.QTOF..MS2..CE",2.5735,-2.2262,2.0869,0.065789,0.54922,-4.2252
"X4.138__241.14152999999999__.M.CH3OH.H..__w.o.MS2.Imiquimod",1.1761,-0.37979,2.0749,0.067085,0.54922,-4.2425
"X1.008__352.02377000000001__.M.H..__w.o.MS2.6.chloro.4.5.7.trihydroxy.9.10.dioxoanthracene.2.carboxylic.acid",-1.1274,-0.041527,-2.0735,0.067239,0.54922,-4.2446
"X7.124__325.27242999999999__.M.H..__w.o.MS2..3S..5...1R.2R.8aS..2.hydroxy.2.5.5.8a.tetramethyl.3.4.4a.6.7.8.hexahydro.1H.naphthalen.1.yl..3.methylpentanoic.acid",-0.76289,0.20835,-2.0633,0.068376,0.54922,-4.2595
"X3.991__160.04408000000001__.M.H..__w.o.MS2.Brompheniramine",-0.5919,-0.11696,-2.0489,0.069998,0.54922,-4.2803
"X3.853__220.09952999999999__.M.H..__w.o.MS2.Aniracetam",1.1558,-0.57875,2.0422,0.070768,0.54922,-4.29
"X0.788__252.92823999999999__.M.H..__Unknown",-1.8648,0.020234,-2.0218,0.07316,0.54922,-4.3194
"X3.013__164.14410000000001__.M.H..__Unknown",0.98253,-0.9602,2.0143,0.074051,0.54922,-4.3301
"X1.805__209.09503000000001__.M.H..__w.o.MS2.MLS000069600.01.CHALCONE614.47.1",1.5167,0.06814,1.9802,0.078271,0.54922,-4.379
"X7.533__371.32468__.M.H..__Unknown",-0.58037,0.18707,-1.9782,0.078527,0.54922,-4.3819
"X6.129__337.07611__.M.Na..__7.8.dihydroxy.5.6.dimethoxy.2.phenyl.4H.chromen.4.one",0.95233,-2.6202,1.961,0.080746,0.54922,-4.4064
"X2.647__205.08823000000001__.M.H..__w.o.MS2.1..4.hydroxy.3..3.methylbut.2.enyl.phenyl.ethanone",-2.7663,-2.7679,-1.9575,0.081205,0.54922,-4.4114
"X8.933__381.35046__.M.H..__w.o.MS2.Brassicasterol..LC.APPI.QQ..MS2..CE",0.80956,-0.8866,1.9369,0.083959,0.54922,-4.4407
"X1.913__184.16908000000001__.M.H..__Unknown",0.48867,-0.057118,1.9191,0.086408,0.54922,-4.4659
"X0.58__493.00060999999999__.M.K..__Unknown",-1.3654,0.53101,-1.9167,0.086749,0.54922,-4.4694
"X0.685__85.028310000000005__.M.H..__w.o.MS2.Unknown..carbon.number.4...PlaSMA.ID.2",-1.476,0.90978,-1.8964,0.089632,0.54922,-4.498
"X7.534__533.21123999999998__.M.H..__Unknown",-2.2847,-0.068824,-1.8933,0.090077,0.54922,-4.5023
"X0.634__298.10275000000001__.M.H..__w.o.MS2.ACTIPHENOL",1.2163,0.37243,1.8913,0.09036,0.54922,-4.505
"X0.682__244.09419__.M.H.H2O..__w.o.MS2.Pesticide3_Carbofuran_C12H15NO3_Furadan",0.99034,-1.8932,1.8898,0.090586,0.54922,-4.5072
"X6.062__249.18491__.M.H..__w.o.MS2.NCGC00380110.01_C16H26O3_1.Propanone..3.hydroxy.1...1R.2R.4aR.6S.8aS..1.2.4a.5.6.7.8.8a.octahydro.2.hydroxy.1.2.6.trimethyl.1.naphthalenyl..",0.53392,-0.45815,1.8863,0.091103,0.54922,-4.5122
"X5.678__263.06464__.M.H..__w.o.MS2.MLS001240214.01.2..3.Chloro.2.methyl.phenylamino..nicotinic.acid",2.1969,-1.9969,1.8822,0.091702,0.54922,-4.5179
"X3.087__106.06570000000001__.M.H..__w.o.MS2.3.Methylthiopropylamine",-0.53366,-0.082979,-1.8598,0.09506,0.54922,-4.5492
"X0.513__265.01522999999997__.M.CH3OH.H..__Unknown",-1.7898,-2.19,-1.8567,0.095527,0.54922,-4.5535
"X1.009__519.01464999999996__.M.H..__Unknown",-1.4572,-0.59795,-1.8527,0.096139,0.54922,-4.559
"X6.098__98.985680000000002__.M.H..__Unknown",0.8456,-0.66034,1.8394,0.09821,0.54922,-4.5775
"X2.434__243.05409__.M.K..__w.o.MS2.TRYPTOPHAN",-0.61266,-0.16376,-1.8384,0.098377,0.54922,-4.579
"X2.197__144.04822999999999__.M.H..__w.o.MS2.4.Methyl.5.thiazoleethanol",0.51527,0.066219,1.8378,0.098472,0.54922,-4.5798
"X5.377__113.06165__.M.H..__w.o.MS2.1.2.Cyclohexanedione",-0.53928,0.044846,-1.8298,0.09974,0.54922,-4.5909
"X4.087__232.17075__.M.H..__w.o.MS2.Alpha.pyrrolidinovalerophenone",-0.85387,-0.28373,-1.8267,0.10023,0.54922,-4.5951
"X4.921__533.18768__.M.2H.2.__Unknown",-2.2002,-0.5522,-1.8255,0.10042,0.54922,-4.5968
"X1.876__206.13831999999999__.M.H..__w.o.MS2.AZELAIC.ACID",0.58038,-0.2364,1.808,0.10327,0.55793,-4.6211
"X6.636__469.14159999999998__.M.H..__w.o.MS2.Unknown..carbon.number.20...PlaSMA.ID.2546",1.0458,-0.6409,1.7796,0.10805,0.56183,-4.66
"X1.609__276.14343000000002__.M.H.H2O..__w.o.MS2.Unknown..carbon.number.11...PlaSMA.ID.1286",1.0169,-3.3161,1.7788,0.10819,0.56183,-4.6612
"X8.208__523.39435000000003__.M.H..__Unknown",2.2631,-2.6064,1.7708,0.10957,0.56183,-4.6721
"X1.719__168.95728__.M.H..__Unknown",1.4992,-0.76784,1.7707,0.10958,0.56183,-4.6722
"X6.21__253.22301999999999__.M.H..__w.o.MS2.MLS002639189.01.",-0.68537,-0.50364,-1.7615,0.11119,0.56183,-4.6847
"X1.82__231.08731__.M.H..__w.o.MS2.Beta.Asarone",0.68054,-0.45138,1.7592,0.1116,0.56183,-4.6879
"X4.575__231.10056__.M.H..__w.o.MS2.MLS000069555.01.NAPROXEN.SODIUM",-1.1829,-1.2862,-1.7372,0.11556,0.56709,-4.7177
"X0.844__256.08458999999999__.M.H..__w.o.MS2.Unknown..carbon.number.11...PlaSMA.ID.1107",2.1941,0.38728,1.7328,0.11637,0.56709,-4.7237
"X2.682__505.18524000000002__.M.H..__w.o.MS2.2..2.6.bis.3.methylbut.2.enyl..4...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxyphenyl..2.hydroxyacetic.acid",-1.0747,-0.24471,-1.7304,0.11682,0.56709,-4.727
"X2.247__258.07211000000001__.M.K..__w.o.MS2.Orbencarb..LC.ESI.ITFT..MS2..CE",-0.51351,0.27956,-1.7252,0.11777,0.56709,-4.734
"X6.459__236.20265000000001__.M.Na..__Unknown",1.2207,-0.618,1.7062,0.12136,0.56909,-4.7596
"X0.582__411.03881999999999__.M.Na..__Unknown",-1.1624,0.28834,-1.696,0.12332,0.56909,-4.7732
"X1.348__200.97656000000001__.M.H..__Unknown",0.99887,0.28221,1.6936,0.12379,0.56909,-4.7764
"X3.486__240.14878999999999__.M.H..__Unknown",1.7552,-0.63779,1.6915,0.12419,0.56909,-4.7792
"X3.089__160.04459__.M.H..__w.o.MS2.Brompheniramine",-0.41148,-0.13463,-1.6846,0.12554,0.56909,-4.7884
"X7.025__351.24707000000001__.M.H..__w.o.MS2.Unknown..carbon.number.21...PlaSMA.ID.1929",-0.90815,0.075781,-1.6759,0.12726,0.56909,-4.7999
"X0.853__100.07642__.M.H..__w.o.MS2.Unknown..carbon.number.5...PlaSMA.ID.14",-0.83622,-0.20675,-1.672,0.12805,0.56909,-4.8052
"X3.087__305.09694999999999__.M.H..__w.o.MS2.N.Acetyl.Asp.Glu",-0.45466,-0.18204,-1.6564,0.13121,0.56909,-4.8258
"X6.969__335.29126000000002__.M.H..__w.o.MS2.arachidic.acid",-2.6887,-1.1596,-1.6536,0.13179,0.56909,-4.8296
"X3.092__434.07135__.M.H..__w.o.MS2.MMV676528",-0.59648,-0.0081359,-1.6522,0.13208,0.56909,-4.8314
"X3.444__350.11617999999999__.M.H..__w.o.MS2.MMV688889",-0.50902,-0.18396,-1.6437,0.13385,0.56909,-4.8426
"X0.667__147.07874000000001__.M.H..__w.o.MS2.4.ureidobutanoic.acid",1.2089,-0.23718,1.6394,0.13474,0.56909,-4.8482
"X0.569__423.08483999999999__.M.H..__w.o.MS2.5.hydroxy.6.8.dimethoxy.7...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxychromen.2.one",-1.8862,-1.512,-1.6387,0.13489,0.56909,-4.8492
"X1.009__74.06__.M.H..__w.o.MS2.N.N.Dimethylformamide",0.89102,0.33141,1.6251,0.13777,0.57212,-4.867
"X3.859__160.04425000000001__.M.H..__w.o.MS2.Brompheniramine",-1.0045,-0.14476,-1.6232,0.13819,0.57212,-4.8695
"X0.986__267.02999999999997__.M.Na..__Unknown",-0.73884,0.36989,-1.6068,0.14175,0.58142,-4.8909
"X5.392__274.28564__.M.H..__Unknown",0.68795,-1.0913,1.5965,0.14404,0.5854,-4.9043
"X0.785__156.07559000000001__.M.H..__w.o.MS2.3..1.Pyrazolyl..alanine",0.40758,-0.16787,1.5819,0.14733,0.58841,-4.9232
"X5.159__540.68871999999999__.M.2H.2.__Unknown",-0.76421,-0.36977,-1.5814,0.14743,0.58841,-4.9238
"X4.572__169.12546__.M.H..__w.o.MS2.Unknown..carbon.number.10...PlaSMA.ID.387",-1.171,-0.06645,-1.5702,0.15001,0.59245,-4.9383
"X3.088__372.10061999999999__.M.Na..__w.o.MS2.Berberine.hydrochloride",-0.43185,-0.079596,-1.5594,0.15252,0.59245,-4.9521
"X7.36__395.28656000000001__.M.H..__w.o.MS2.Conessine",-1.422,-0.34367,-1.5534,0.15394,0.59245,-4.9598
"X0.854__174.14882__.M.H..__w.o.MS2.Unknown..carbon.number.9...PlaSMA.ID.410",-1.1168,-0.57428,-1.546,0.1557,0.59245,-4.9692
"X5.942__435.21643__.M.K..__w.o.MS2.76.25.5",0.7187,-0.46261,1.5446,0.15605,0.59245,-4.971
"X0.908__130.05080000000001__.M.H..__w.o.MS2.Pyroglutamic.acid..not.validated..isomer.of.88...PlaSMA.ID.89",1.3392,-0.055011,1.5428,0.15647,0.59245,-4.9733
"X6.116__356.35174999999998__.M.H..__Unknown",0.50089,0.10908,1.5197,0.16212,0.59987,-5.0026
"X0.984__247.03163000000001__.M.H..__w.o.MS2.columbianetin",-0.77916,0.10137,-1.5172,0.16272,0.59987,-5.0057
"X4.792__144.13963000000001__.M.H..__Unknown",0.46411,-1.1182,1.5078,0.16509,0.59987,-5.0176
"X1.631__175.08632__.M.H..__w.o.MS2.Unknown..carbon.number.8...PlaSMA.ID.417",-0.87645,-0.048162,-1.5011,0.16678,0.59987,-5.026
"X0.831__168.94781__.M.H..__Unknown",-1.023,-0.49377,-1.4981,0.16753,0.59987,-5.0297
"X2.838__384.12860000000001__.M.H..__w.o.MS2.1.hydroxy.4...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxynaphthalene.2.carboxylic.acid",1.2743,-0.23911,1.4976,0.16767,0.59987,-5.0303
"X6.781__337.24032999999997__.M.H..__w.o.MS2.bis.2..pyridin.3.yl.piperidin.1.yl.methane",-0.7657,0.10166,-1.4917,0.16917,0.59987,-5.0377
"X0.575__507.05077999999997__.M.K..__w.o.MS2.ginnalin.A",-2.4208,-1.7452,-1.4878,0.17019,0.59987,-5.0426
"X3.923__241.10565__.M.H..__w.o.MS2.NCGC00169556.02.3..3.4.5.trimethoxyphenyl.propanoic.acid",-0.62626,-0.22571,-1.4752,0.17347,0.59987,-5.0582
"X4.884__225.11256__.M.H..__w.o.MS2..E.2S.3R..5..3.hydroxy.2..hydroxymethyl.phenyl.pent.4.ene.2.3.diol",-0.77637,0.2388,-1.4731,0.17402,0.59987,-5.0608
"X1.095__252.15924000000001__.M.H..__Unknown",0.43075,-0.17345,1.4667,0.17571,0.59987,-5.0687
"X6.806__250.08751000000001__.M.H..__w.o.MS2.MLS001074296.01.2.Phenyl.4.quinolinecarboxylic.acid132.60.5",0.72294,-1.811,1.4658,0.17595,0.59987,-5.0698
"X3.655__396.15850999999998__.M.H..__w.o.MS2.NCGC00385007.01.methyl.4..1.3.dihydroxy.1..4.hydroxy.3.methoxyphenyl.propan.2.yl.oxy.3.methoxybenzoate",-0.57706,-0.1366,-1.4655,0.17603,0.59987,-5.0702
"X0.579__367.96352999999999__.M.K..__Unknown",-0.82005,-0.72687,-1.4549,0.17889,0.60494,-5.0833
"X0.692__316.98538000000002__.M.K..__Unknown",-0.53051,-3.1127,-1.4401,0.18293,0.61134,-5.1015
"X4.08__251.08992000000001__.M.H..__w.o.MS2.NCGC00179979.02.6..3.hydroxybutan.2.yl..5..hydroxymethyl..4.methoxypyran.2.one",0.52215,-0.18965,1.4335,0.18473,0.61134,-5.1094
"X6.291__293.21749999999997__.M.H..__w.o.MS2.Unknown..carbon.number.18...PlaSMA.ID.1487",-0.88255,-0.28397,-1.4329,0.18492,0.61134,-5.1103
"X3.811__500.19774999999998__.M.H..__w.o.MS2.N..4.5.dihydroxy.2...4..hydroxy.phenyl.methyl..5.oxo.3.phenyl.2H.furan.2.yl.oxy..6..methoxymethyl.oxan.3.yl.acetamide",-0.36171,0.18193,-1.423,0.18769,0.6159,-5.1223
"X7.569__376.30083999999999__.M.K..__Unknown",-1.0273,1.3221,-1.3794,0.20029,0.64752,-5.1746
"X3.686__212.03371999999999__.M.Na..__w.o.MS2.alpha.cyano.4.hydroxycinnamic.acid..MALDI.TOFTOF..MS2..CE",-0.38991,0.17439,-1.3788,0.20049,0.64752,-5.1754
"X6.341__312.37142999999998__.M.H..__Unknown",0.56451,-0.053535,1.3747,0.20171,0.64752,-5.1802
"X1.008__323.06787000000003__.M.H..__w.o.MS2.3.4.DIMETHOXYDALBERGIONE",-0.67923,0.31057,-1.3657,0.20441,0.64782,-5.1909
"X4.648__540.18829000000005__.M.H..__Unknown",-0.88028,-0.315,-1.3647,0.20473,0.64782,-5.1921
"X4.613__311.16034000000002__.M.H..__w.o.MS2..16alpha.17beta..estra.1.3.5.10..triene.3.16.17.triol",-3.0289,-1.6064,-1.358,0.20677,0.64963,-5.2
"X1.458__432.23935__.M.H.H2O..__w.o.MS2.Nakijiquinone.C",-2.4193,-1.1135,-1.353,0.20831,0.64987,-5.2059
"X2.241__162.05575999999999__.M.H..__w.o.MS2..MLS000860043.01.1.5.Isoquinolinediol.",-0.47591,-0.032972,-1.3384,0.21283,0.65933,-5.223
"X1.009__172.0412__.M.Na..__w.o.MS2.p.Toluenesulfonamide",-0.62712,-0.34166,-1.3277,0.21621,0.6638,-5.2354
"X0.936__258.10955999999999__.M.H..__w.o.MS2.sn.Glycero.3.phosphocholine..LC.ESI.QTOF..MS2..CE",-1.0399,0.18857,-1.3209,0.21838,0.6638,-5.2433
"X3.853__418.14182__.M.Na..__w.o.MS2.Atalaphylline",-0.47604,0.066378,-1.3197,0.21877,0.6638,-5.2447
"X1.585__152.05681999999999__.M.CH3OH.H..__w.o.MS2.Guanine..CE0..UYTPUPDQBNUYGX.UHFFFAOYSA.N",0.44047,-0.12394,1.3042,0.22377,0.67005,-5.2625
"X1.632__177.95822000000001__.M.H..__Unknown",0.44891,-0.018452,1.3039,0.22388,0.67005,-5.2629
"X1.458__366.00011999999998__.M.H..__Unknown",-1.3364,-0.64561,-1.2994,0.22537,0.67005,-5.2681
"X7.028__320.24691999999999__.M.H..__Unknown",-1.1298,-0.31085,-1.2824,0.23102,0.67878,-5.2874
"X0.58__299.97570999999999__.M.K..__Unknown",-0.5587,-0.066579,-1.2701,0.23517,0.67878,-5.3013
"X2.607__137.07096999999999__.M.H..__w.o.MS2.N.Methylnicotinamide..CE0..ZYVXHFWBYUDDBM.UHFFFAOYSA.N",0.65512,-0.047279,1.268,0.2359,0.67878,-5.3037
"X0.68__446.15996999999999__.M.H..__w.o.MS2.MLS001158243.01.N..2.hydroxy.2.phenylethyl..2..4..4.methoxyphenyl..2.oxochromen.7.yl.oxyacetamide",-1.1368,-2.3535,-1.2632,0.23753,0.67878,-5.3091
"X2.519__169.04911999999999__.M.H..__w.o.MS2.2.6.Dimethoxyquinone",1.4078,0.063954,1.2574,0.23953,0.67878,-5.3156
"X1.008__472.12173000000001__.M.H..__Unknown",-2.8582,-0.66,-1.256,0.24002,0.67878,-5.3172
"X3.846__396.1626__.M.H..__w.o.MS2.NCGC00385007.01.methyl.4..1.3.dihydroxy.1..4.hydroxy.3.methoxyphenyl.propan.2.yl.oxy.3.methoxybenzoate",-0.37796,-0.034166,-1.2555,0.24018,0.67878,-5.3177
"X2.435__160.07657__.M.H..__w.o.MS2.Unknown..carbon.number.10...PlaSMA.ID.289",-0.54503,0.32954,-1.2544,0.24056,0.67878,-5.3189
"X7.516__481.29802999999998__.M.H..__w.o.MS2.Smilagenin.Acetate",1.9093,-0.74963,1.243,0.24455,0.68429,-5.3316
"X6.81__392.30063000000001__.M.K..__Unknown",-0.87467,0.30597,-1.2372,0.24659,0.68429,-5.338
"X0.705__74.096680000000006__.M.H..__w.o.MS2.Butylamine",0.30413,0.15229,1.2306,0.24893,0.68429,-5.3453
"X7.181__362.30333999999999__.M.H..__w.o.MS2.NCGC00386000.01.3.pentadecylbenzene.1.2.diol",-0.59319,0.58339,-1.2262,0.25052,0.68429,-5.3502
"X0.58__429.93588__.M.H..__Unknown",-0.77983,0.0011264,-1.2261,0.25055,0.68429,-5.3503
"X4.072__163.07662999999999__.M.H..__w.o.MS2.Isosafrole",0.67054,-0.17586,1.2227,0.25178,0.68429,-5.354
"X6.847__307.20605__.M.Na..__w.o.MS2..1R.3S.5S..8.methyl.8.azabicyclo.3.2.1.octan.3.yl.3.hydroxy.2.phenylpropanoate",0.83525,0.27828,1.2106,0.25615,0.68698,-5.3672
"X2.614__180.13856999999999__.M.H..__w.o.MS2.MEX_180.1383_11.9",-0.32645,-0.17167,-1.2098,0.25646,0.68698,-5.3681
"X0.581__233.99332000000001__.M.K..__Unknown",-0.88061,0.28826,-1.207,0.25749,0.68698,-5.3711
"X5.375__325.10736000000003__.M.K..__w.o.MS2.NCGC00169103.03_C19H18O6_Benz.3.4.anthra.1.2.b.oxirene.5.6.dione..1a.2.3.4.5b.11.11a.11b.octahydro.10.11.11a.trihydroxy.3.methyl.",-0.80271,-0.27273,-1.203,0.25897,0.68698,-5.3755
"X4.557__376.13256999999999__.M.H..__w.o.MS2.BEZ.M",0.69713,-1.8168,1.1917,0.26317,0.69033,-5.3878
"X2.236__181.08635000000001__.M.H..__w.o.MS2.Unknown..carbon.number.10...PlaSMA.ID.501",0.3488,-0.16306,1.1911,0.26336,0.69033,-5.3883
"X5.493__279.09369__.M.H..__Triphenylphosphine.oxide",0.33098,-0.39567,1.175,0.26943,0.70211,-5.4056
"X4.517__197.08624__.M.H..__w.o.MS2..MLS002207182.01.2..Hydroxy.4..6..dimethoxyacetophenone90.24.4.",-0.49496,-0.57319,-1.1503,0.27898,0.70943,-5.4317
"X0.579__351.98876999999999__.M.Na..__Unknown",-0.57092,-1.5348,-1.1501,0.27905,0.70943,-5.4319
"X1.289__136.07607999999999__.M.H..__w.o.MS2.3..Aminoacetophenone",0.59229,0.60957,1.1495,0.27929,0.70943,-5.4326
"X1.084__182.08507__.M.H..__w.o.MS2.Unknown..carbon.number.9...PlaSMA.ID.511",0.60204,0.4833,1.1406,0.28281,0.70943,-5.4419
"X0.894__190.97855000000001__.M.H..__Unknown",0.57306,-0.79726,1.1405,0.28286,0.70943,-5.4421
"X4.724__446.16519__.M.2H.2.__w.o.MS2.1..3..2.3.dihydrobenzo.b..1.4.dioxin.6.yl..7.hydroxy.2.methyl.4.oxo.6.propyl.4H.chromen.8.yl..N.N.dimethylmethanaminium.chloride",-0.69564,-0.022401,-1.1398,0.28313,0.70943,-5.4428
"X0.579__481.94720000000001__.M.H..__Unknown",-0.44157,-0.48786,-1.1389,0.28345,0.70943,-5.4436
