"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X6.691__228.24011__.M.H..__Unknown",-0.27989,-0.2294,-2.8827,0.0049172,0.017726,-3.0007
"X0.58__329.99658__.M.H..__Unknown",-0.2653,-0.18374,-2.8763,0.0050096,0.017914,-3.0177
"X1.009__517.02832__.M.K..__w.o.MS2.Isorhamnetin.3.galactoside",-0.7611,-0.23883,-2.8701,0.0051005,0.018095,-3.0341
"X6.813__376.3233__.M.Na..__w.o.MS2.N..3.Methoxybenzyl.palmitamide",0.67474,-0.039593,2.8616,0.0052273,0.018398,-3.0564
"X7.711__445.12__.M.H..__w.o.MS2...2R.3R.4R.5R..2..2.4.dioxopyrimidin.1.yl..4.hydroxy.5..hydroxymethyl.oxolan.3.yl..2.4.dimethoxy.6.methylbenzoate",1.9544,-3.8122,2.8366,0.005618,0.019619,-3.122
"X4.349__247.09497__.M.H..__w.o.MS2..E.2S.3R..5..3.hydroxy.2..hydroxymethyl.phenyl.pent.4.ene.2.3.diol",-0.26576,-0.2164,-2.804,0.0061668,0.021369,-3.2066
"X0.685__85.02831__.M.H..__w.o.MS2.Unknown..carbon.number.4...PlaSMA.ID.2",-1.1477,1.4832,-2.7116,0.0080026,0.027517,-3.4423
"X6.777__309.28003__.M.H..__w.o.MS2.Sclareol",-0.48786,-0.065928,-2.7025,0.0082069,0.028004,-3.465
"X0.514__198.94176__.M.H..__Unknown",-0.7564,-0.23829,-2.6931,0.0084238,0.028526,-3.4885
"X0.788__252.92824__.M.H..__Unknown",0.80571,0.30393,2.682,0.0086871,0.029196,-3.5162
"X4.575__231.10056__.M.H..__w.o.MS2.MLS000069555.01.NAPROXEN.SODIUM",-0.72022,-1.1701,-2.6567,0.0093162,0.031077,-3.5791
"X5.375__325.10736__.M.K..__w.o.MS2.NCGC00169103.03_C19H18O6_Benz.3.4.anthra.1.2.b.oxirene.5.6.dione..1a.2.3.4.5b.11.11a.11b.octahydro.10.11.11a.trihydroxy.3.methyl.",1.5951,-1.4117,2.6502,0.0094847,0.031405,-3.5952
"X7.016__354.1734__.M.H..__w.o.MS2.MLS002695993.01.35661.60.0",1.4307,-0.90275,2.6187,0.010336,0.033971,-3.6723
"X5.902__415.21396__.M.H..__w.o.MS2.MMV020623",-0.48729,0.015469,-2.6155,0.010427,0.03402,-3.6802
"X1.008__352.02377__.M.H..__w.o.MS2.6.chloro.4.5.7.trihydroxy.9.10.dioxoanthracene.2.carboxylic.acid",-0.38439,0.13695,-2.5722,0.011722,0.037971,-3.785
"X8.613__379.33453__.M.H..__Unknown",-0.72664,-0.051317,-2.5659,0.011923,0.038344,-3.8002
"X1.641__174.05602__.M.H..__w.o.MS2.4.Quinolinecarboxylic.acid",0.41204,0.0017845,2.5399,0.012781,0.040634,-3.8622
"X1.009__355.03085__.M.H..__w.o.MS2.Pinoquercetin",-0.62346,0.13898,-2.5388,0.012818,0.040634,-3.8647
"X0.571__246.03334__.M.Na..__Unknown",-0.2842,-0.11558,-2.5219,0.013407,0.042043,-3.9047
"X6.037__180.1393__.M.H..__w.o.MS2..1..2.6.dimethylphenoxy.propan.2.amine.",-0.57528,-0.34952,-2.5207,0.01345,0.042043,-3.9076
"X0.58__258.9007__.M.Na..__Unknown",-0.3332,-0.40337,-2.5102,0.013831,0.042863,-3.9324
"X6.01__387.19376__.M.H..__w.o.MS2.2..4a.methyl.8.methylidene.4..3.methylpentanoyloxy..1.2.3.4.5.6.7.8a.octahydronaphthalen.2.yl.prop.2.enoic.acid",-0.41788,-0.19385,-2.5082,0.013904,0.042863,-3.9371
"X2.246__242.10069__.M.Na..__w.o.MS2.Zeatin",0.18748,0.068674,2.4977,0.014294,0.043762,-3.9617
"X6.81__392.30063__.M.K..__Unknown",0.82058,-0.40479,2.4262,0.017224,0.052375,-4.127
"X5.839__259.13199__.M.H..__w.o.MS2.2.methoxy.5.methyl.3..2.methylbut.3.en.2.yl.chromen.4.one",-1.4564,-1.1482,-2.3988,0.018484,0.055827,-4.1893
"X2.435__160.07657__.M.H..__w.o.MS2.Unknown..carbon.number.10...PlaSMA.ID.289",0.37233,0.071806,2.3895,0.018932,0.056642,-4.2104
"X4.648__350.11606__.M.2H.2.__w.o.MS2.MMV688889",-0.96912,-0.32035,-2.3879,0.019007,0.056642,-4.2139
"X6.03__326.37839__.M.H..__Unknown",-0.51065,-1.5038,-2.3835,0.019223,0.056905,-4.2238
"X6.147__327.09116__.M.H..__w.o.MS2.Vicine",-1.0428,-0.63177,-2.37,0.019898,0.058516,-4.2542
"X2.434__409.18683__.M.H..__w.o.MS2.eudesmin",-0.68376,-0.37635,-2.3531,0.02077,0.06068,-4.2919
"X6.011__446.26712__.M.H..__Unknown",-0.36686,-0.019712,-2.3504,0.02091,0.060692,-4.2978
"X3.467__201.0507__.M.H..__w.o.MS2.Camalexin",-1.3066,-1.0726,-2.2851,0.024628,0.071025,-4.4411
"X5.757__275.16208__.M.H..__w.o.MS2.NCGC00380303.01..E..7.methylidene.10.oxo.4.propan.2.ylundec.5.enoic.acid",-0.47305,-0.18894,-2.2777,0.02508,0.071863,-4.4569
"X0.684__97.02856__.M.H..__w.o.MS2.Propionic.acid",-1.6057,-1.2026,-2.2454,0.027161,0.077332,-4.5264
"X1.009__519.01465__.M.H..__Unknown",-0.77912,-0.38731,-2.2312,0.028117,0.079546,-4.5564
"X8.264__449.3848__.M.H..__w.o.MS2.friedelin",-1.6356,-0.90187,-2.2241,0.028612,0.080438,-4.5716
"X1.01__397.07755__.M.H..__Unknown",-0.67277,0.13173,-2.2158,0.029194,0.081562,-4.589
"X8.902__311.25742__.M.H..__w.o.MS2.NCGC00385642.01.1.4.dihydroxyheptadec.16.en.2.yl.acetate",-0.38173,-0.20406,-2.1901,0.031065,0.086249,-4.6428
"X0.579__413.96124__.M.H..__Unknown",-0.24365,-0.11713,-2.172,0.032448,0.089532,-4.6804
"X2.345__146.11841__.M.H..__w.o.MS2.Unknown..carbon.number.7...PlaSMA.ID.184",-0.18102,0.0306,-2.147,0.03445,0.094436,-4.7321
"X6.479__295.23615__.M.H..__w.o.MS2.Unknown..carbon.number.18...PlaSMA.ID.1528",-0.79789,-0.61807,-2.1444,0.034662,0.094436,-4.7373
"X7.393__413.26001__.M.Na..__2.acetoxy.4.pentadecylbenzoic.acid",-0.64847,0.12082,-2.142,0.034859,0.094436,-4.7422
"X1.585__152.05682__.M.CH3OH.H..__w.o.MS2.Guanine..CE0..UYTPUPDQBNUYGX.UHFFFAOYSA.N",0.38104,-0.43544,2.1349,0.035448,0.095453,-4.7566
"X6.422__317.13223__.M.H..__w.o.MS2.2.morpholino.7H.naphtho.1.2.3.de.quinolin.7.one",-0.87784,-0.77462,-2.1278,0.036055,0.096462,-4.7712
"X7.219__311.25345__.M.H..__w.o.MS2.NCGC00385642.01.1.4.dihydroxyheptadec.16.en.2.yl.acetate",-0.34856,0.10752,-2.1217,0.036577,0.096462,-4.7835
"X7.883__521.38727__.M.H..__Unknown",-0.46837,0.19144,-2.1194,0.036772,0.096462,-4.7881
"X6.341__312.37143__.M.H..__Unknown",-0.4738,-0.16958,-2.1185,0.036854,0.096462,-4.79
"X5.823__253.14128__.M.H..__w.o.MS2.NCGC00169882.02_C14H20O4_.8aR.12S.12aR..12.Hydroxy.4.methyl.4.5.6.7.8.8a.12.12a.octahydro.2H.3.benzoxecine.2.9.1H..dione",-0.44738,-0.14734,-2.1179,0.036902,0.096462,-4.7911
"X0.514__166.96071__.M.H..__Unknown",-0.40596,-0.58457,-2.11,0.037594,0.097701,-4.8071
"X0.709__245.15268__.M.H..__w.o.MS2.KOBUSONE",-0.56103,0.30725,-2.1042,0.038111,0.098471,-4.8188
"X3.089__388.07407__.M.K..__Unknown",0.77468,-0.53989,2.0994,0.038542,0.099012,-4.8284
"X1.031__202.18224__.M.H..__Unknown",-0.34665,-0.12583,-2.0881,0.039574,0.10081,-4.851
"X2.614__180.13857__.M.H..__w.o.MS2.MEX_180.1383_11.9",-0.23017,-0.0036765,-2.0869,0.039692,0.10081,-4.8536
