"","Strain","Batch","Class"
"RP_POS_MEK1_1.B7G_022","MEK1","2","Glucose"
"RP_POS_PCL1_1.B5G_023","PCL1","2","Glucose"
"RP_POS_RTS3_2.B6E_024","RTS3","2","Ethanol"
"RP_POS_OCA1_1.B6E_025","OCA1","2","Ethanol"
"RP_POS_MEK1_2.B5G_026","MEK1","2","Glucose"
"RP_POS_MEK1_1.B6E_027","MEK1","2","Ethanol"
"RP_POS_FAA1_2.B6E_028","FAA1","2","Ethanol"
"RP_POS_TDA1_1.B5G_033","TDA1","2","Glucose"
"RP_POS_FAA1_1.B6E_034","FAA1","2","Ethanol"
"RP_POS_PCL1_1.B6E_035","PCL1","2","Ethanol"
"RP_POS_WT_3.B6E_036","WT","2","Ethanol"
"RP_POS_OCA1_1.B7G_037","OCA1","2","Glucose"
"RP_POS_RTS3_4.B5G_039","RTS3","2","Glucose"
"RP_POS_MEK1_4.B5G_040","MEK1","2","Glucose"
"RP_POS_GAL11_1.B5G_041","GAL11","2","Glucose"
"RP_POS_GAL11_2.B6E_042","GAL11","2","Ethanol"
"RP_POS_GAL11_3.B5G_047","GAL11","2","Glucose"
"RP_POS_RTS3_1.B7G_048","RTS3","2","Glucose"
"RP_POS_PCL1_1.B7G_050","PCL1","2","Glucose"
"RP_POS_MEK1_1.B5G_051","MEK1","2","Glucose"
"RP_POS_RTS3_1.B6E_052","RTS3","2","Ethanol"
"RP_POS_RME1_1.B6E_053","RME1","2","Ethanol"
"RP_POS_PCL1_3.B5G_054","PCL1","2","Glucose"
"RP_POS_OCA1_3.B5G_055","OCA1","2","Glucose"
"RP_POS_DLD3_2.B6E_056","DLD3","2","Ethanol"
"RP_POS_RTS3_2.B5G_061","RTS3","2","Glucose"
"RP_POS_FAA1_1.B5G_062","FAA1","2","Glucose"
"RP_POS_MEK1_2.B6E_063","MEK1","2","Ethanol"
"RP_POS_RTS3_1.B5G_064","RTS3","2","Glucose"
"RP_POS_WT_1.B6E_065","WT","2","Ethanol"
"RP_POS_GAL11_1.B6E_066","GAL11","2","Ethanol"
"RP_POS_DLD3_3.B5G_067","DLD3","2","Glucose"
"RP_POS_WT_1.B5G_068","WT","2","Glucose"
"RP_POS_PCL1_2.B5G_069","PCL1","2","Glucose"
"RP_POS_WT_2.B6E_070","WT","2","Ethanol"
"RP_POS_WT_1.B7G_075","WT","2","Glucose"
"RP_POS_YGR_3.B6E_076","YGR067C","2","Ethanol"
"RP_POS_WT_2.B7G_077","WT","2","Glucose"
"RP_POS_DLD3_1.B7G_078","DLD3","2","Glucose"
"RP_POS_PCL1_2.B6E_079","PCL1","2","Ethanol"
"RP_POS_RTS3_3.B5G_080","RTS3","2","Glucose"
"RP_POS_RME1_1.B7G_081","RME1","2","Glucose"
"RP_POS_TDA1_1.B6E_082","TDA1","2","Ethanol"
"RP_POS_YGR_1.B6E_083","YGR067C","2","Ethanol"
"RP_POS_MEK1_3.B5G_089","MEK1","2","Glucose"
"RP_POS_GAL11_1.B7G_090","GAL11","2","Glucose"
